kor_name,eng_name,country,beer_category_1,beer_category_2,abv,ibu,thumbnail
천하장사 에너지 비어,KABREW ENERGY BEER,SOUTH KOREA,WEIZEN,,4.2 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/88.jpeg
카이저돔 켈러비어,KAISERDOM KELLERBIER,GERMANY,LAGER,,4.7 ,13,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/89.jpeg
카이저돔 필스너,KAISERDOM PILSENER,GERMANY,PILSNER,,4.8 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/90.jpeg
킹피셔맥주,KINGFISHER PREMIUM LAGER BEER,INDIA,LAGER,,5.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/91.jpeg
기린 이치방,KIRIN ICHBAN,JAPAN,LAGER,,4.9 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/92.jpeg
깡맥주 블랙,KKANG BEER BLACK,SOUTH KOREA,DUNKEL,,4.5 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/93.jpeg
깡맥주 오리지널,KKANG BEER ORIGINAL,SOUTH KOREA,WEIZEN,,4.8 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/94.jpeg
클라우드 하드셀처 망고,KLOUD HARD SELTZER MANGO,SOUTH KOREA,ETC,FRUIT,3.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/95.jpeg
코나 롱보드 아일랜드 라거,KONA LONGBOARD ISLAND LAGER,UNITED STATES,LAGER,,4.6 ,18,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/96.jpeg
코젤 다크,KOZEL DARK,CZECH REPUBLIC,LAGER,DUNKEL,3.8 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/97.jpeg
